FULL ADDRESS,PARCEL_NO,X,Y,C.TRACT.,C.BLOCK.,CASE#,V.I.D,VIOLATION TYPE,ISSUED,COMP_TYPE
2502  FORTHMANN PL,020700530358,1378947,419383,100.01,1000,B201806193,CD05166847,REPAIR WATER CLOSET (TOILET), 09/17/2018,CBHCODE
2502  FORTHMANN PL,020700530031,1378947,419383,100.01,1000,B201806193,CD05166847,REPAIR WATER CLOSET (TOILET), 09/17/2018,CBHCODE
2502  FORTHMANN PL,020700530358,1378947,419383,100.01,1000,B201806193,CD05166848,TOILET ROOM SURFACES, 09/17/2018,CBHCODE
2502  FORTHMANN PL,020700530031,1378947,419383,100.01,1000,B201806193,CD05166848,TOILET ROOM SURFACES, 09/17/2018,CBHCODE
2502  FORTHMANN PL,020700530358,1378947,419383,100.01,1000,B202300653,CD07418598,REPAIR SIDING, 02/06/2023,CBHCODE
2502  FORTHMANN PL,020700530358,1378947,419383,100.01,1000,B202300653,CD07418595,REPAIR GUTTERS AND DOWNSPOUTS, 02/06/2023,CBHCODE
2502  FORTHMANN PL,020700530358,1378947,419383,100.01,1000,B202300653,CD07418596,SEWER CONNECT DOWNSPOUTS, 02/06/2023,CBHCODE
2502  FORTHMANN PL,020700530358,1378947,419383,100.01,1000,B202300653,CD07418599,PAINT EXTERIOR, 02/06/2023,CBHCODE
2502  FORTHMANN PL,020700530358,1378947,419383,100.01,1000,B202300653,CD07418600,REPAIR WINDOWS, 02/06/2023,CBHCODE
2504  FORTHMANN PL,020700530211,1378987,419599,100.01,1000,B201904595,BCOE400,REPAIR ROOF, 06/18/2019,CBHCODE
2504  FORTHMANN PL,020700530211,1378987,419599,100.01,1000,B201904595,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 06/18/2019,CBHCODE
2504  FORTHMANN PL,020700530211,1378987,419599,100.01,1000,B201904595,BCOE411,REPAIR SIDING, 06/18/2019,CBHCODE
2504  FORTHMANN PL,020700530211,1378987,419599,100.01,1000,B201904595,CD05560114,PAINT OR PAPER ROOMS, 06/18/2019,CBHCODE
2504  FORTHMANN PL,020700530211,1378987,419599,100.01,1000,B201800041,CD04761464,REPAIR GUTTERS AND DOWNSPOUTS, 01/08/2018,CBHCODE
2505  HARRISON AV,02080A580074,1377887,422366,100.01,1000,B202001861,CD05974330,REPAIR LEAK AND DAMAGE, 05/14/2020,CBHCODE
2505  HARRISON AV,02080A580074,1377887,422366,100.01,1000,B202001861,CD05974331,REPAIR MECHANICAL VENT, 05/14/2020,CBHCODE
2505  HARRISON AV,02080A580074,1377887,422366,100.01,1000,B202001861,CD05974332,PAINT OR PAPER ROOMS, 05/14/2020,CBHCODE
2516  ORLAND AV,021300010021,1379752,418944,100.01,1000,B202104344,CD06654944,REPAIR WINDOWS, 08/18/2021,CBHCODE
2516  ORLAND AV,021300010021,1379752,418944,100.01,1000,B202104344,CD06654945,REPAIR ROOF, 08/18/2021,CBHCODE
2523  ORLAND AV,021300010006,1379619,419129,100.01,1000,B202205587,CD07292412,DEFECTIVE PLUMBING LINES, 10/27/2022,CBHCODE
2528  QUEEN CITY AV,018200020019,1376742,418445,100.01,1000,B202202440,BCOE414,REPAIR WINDOWS, 06/24/2022,CBHCODE
2610  MORNINGDALE CT,020800650113,1376683,420460,100.01,1000,B202004670,CD06168288,REPAIR LEAK AND DAMAGE, 09/15/2020,CBHCODE
2610  MORNINGDALE CT,020800650113,1376683,420460,100.01,1000,B202004670,CD06168292,DEFECTIVE PLUMBING LINES, 09/15/2020,CBHCODE
2621  FENTON AV,020700530042,1379088,420298,100.01,1000,B201803817,CD04981293,REPAIR GUTTERS AND DOWNSPOUTS, 05/31/2018,CBHCODE
2641  FENTON AV,020700530038,1379257,420489,100.01,1000,B201800106,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 01/12/2018,CBHCODE
2641  FENTON AV,020700530038,1379257,420489,100.01,1000,B201800106,BCOE413,PAINT EXTERIOR, 01/12/2018,CBHCODE
2652  FENTON AV,020700530012,1379450,420511,100.01,1000,B201905032,CD05604976,REPAIR LEAK AND DAMAGE, 07/17/2019,CBHCODE
2652  FENTON AV,020700530012,1379450,420511,100.01,1000,B201905032,CD05604977,REPAIR BATH OR SHOWER, 07/17/2019,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B201802335,CD04852972,PAINT OR PAPER ROOMS, 03/09/2018,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B201807112,BCOE667,INSECT AND RODENT CONTROL, 10/23/2018,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B201807112,CD05221537,REPAIR LAVATORY, 10/23/2018,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B201807738,BCOE111,VACATE THE APARTMENT, 11/21/2018,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B201807738,CD05262555,VACATE THE BUILDING, 11/21/2018,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B202106518,BCOE414,REPAIR WINDOWS, 01/05/2022,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B202106518,BCOE619,REPAIR WATER CLOSET (TOILET), 01/05/2022,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B202102417,BCOE400,REPAIR ROOF, 08/03/2021,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B202102417,BCOE605,REPAIR LEAK AND DAMAGE, 08/03/2021,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B202001201,CD05901554,REPAIR LEAK AND DAMAGE, 02/25/2020,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B202001201,CD05901555,REPAIR BATH OR SHOWER, 02/25/2020,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B202001201,BCOE621,TOILET ROOM SURFACES, 02/25/2020,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B202002847,BCOE605,REPAIR LEAK AND DAMAGE, 06/24/2020,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B202002847,CD06044738,INSECT AND RODENT CONTROL, 06/24/2020,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B202004719,BCOE400,REPAIR ROOF, 11/03/2020,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B202004719,BCOE605,REPAIR LEAK AND DAMAGE, 11/03/2020,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B201802786,BCOE414,REPAIR WINDOWS, 05/09/2018,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B201802786,BCOE609,LIGHT AND VENTILATION GENERAL, 05/09/2018,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B201802786,BCOE667,INSECT AND RODENT CONTROL, 05/09/2018,CBHCODE
2654  FENTON AV,020700530012,1379461,420496,100.01,1000,B201905031,CD05613870,REPAIR LEAK AND DAMAGE, 07/18/2019,CBHCODE
2700  QUEENSWOOD DR,020800680128,1377255,419292,100.01,1000,B202201078,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 09/06/2022,CBHCODE
2700  QUEENSWOOD DR,020800680128,1377255,419292,100.01,1000,B202004364,CD06135987,REPAIR GUTTERS AND DOWNSPOUTS, 08/20/2020,CBHCODE
2700  QUEENSWOOD DR,020800680128,1377255,419292,100.01,1000,B202004364,BCOE411,REPAIR SIDING, 08/20/2020,CBHCODE
2700  QUEENSWOOD DR,020800680128,1377255,419292,100.01,1000,B202004364,CD06135986,REPAIR WINDOWS, 08/20/2020,CBHCODE
2718  MORNINGRIDGE DR,020800650102,1376453,419928,100.01,1000,B202104413,BCOE414,REPAIR WINDOWS, 08/18/2021,CBHCODE
2772  MORNINGRIDGE DR,020800650119,1376275,420444,100.01,1000,B201802949,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 04/18/2018,CBHCODE
2772  MORNINGRIDGE DR,020800650119,1376275,420444,100.01,1000,B201900334,CD05344889,REPAIR GUTTERS AND DOWNSPOUTS, 01/30/2019,CBHCODE
2797  CYCLORAMA DR,020800680015,1377334,420222,100.01,1000,B201801879,BCOE400,REPAIR ROOF, 02/06/2018,CBHCODE
2797  CYCLORAMA DR,020800680015,1377334,420222,100.01,1000,B201801879,BCOE413,PAINT EXTERIOR, 02/06/2018,CBHCODE
2797  CYCLORAMA DR,020800680015,1377334,420222,100.01,1000,B201802602,BCOE400,REPAIR ROOF, 03/22/2018,CBHCODE
2797  CYCLORAMA DR,020800680015,1377334,420222,100.01,1000,B201802602,BCOE413,PAINT EXTERIOR, 03/22/2018,CBHCODE
2797  CYCLORAMA DR,020800680015,1377334,420222,100.01,1000,B201802602,BCOE606,PAINT OR PAPER ROOMS, 03/22/2018,CBHCODE
2797  CYCLORAMA DR,020800680015,1377334,420222,100.01,1000,B202006474,BCOE414,REPAIR WINDOWS, 01/06/2021,CBHCODE
2805  QUEENSWOOD DR,020800680083,1376916,420214,100.01,1000,B201804115,BCOE411,REPAIR SIDING, 06/12/2018,CBHCODE
2805  QUEENSWOOD DR,020800680083,1376916,420214,100.01,1000,B201804115,BCOE413,PAINT EXTERIOR, 06/12/2018,CBHCODE
2830  QUEENSWOOD DR,020800680088,1377129,420503,100.01,1000,B202001172,BCOE413,PAINT EXTERIOR, 02/25/2020,CBHCODE
2830  QUEENSWOOD DR,020800680088,1377129,420503,100.01,1000,B201904835,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 06/27/2019,CBHCODE
2830  QUEENSWOOD DR,020800680088,1377129,420503,100.01,1000,B201904835,BCOE413,PAINT EXTERIOR, 06/27/2019,CBHCODE
2850  LAFEUILLE AV,020800650055,1375662,421219,100.01,1000,B201800014,BCOE606,PAINT OR PAPER ROOMS, 01/12/2018,CBHCODE
2930  GRASSELLI AV,02080A580023,1377770,422394,100.01,1000,B202206584,CD07360930,INSECT AND RODENT CONTROL, 12/21/2022,CBHCODE
2986  WOODROW AV,020800620022,1377039,422564,100.01,1000,B202100413,BCOE414,REPAIR WINDOWS, 02/12/2021,CBHCODE
2992  WOODROW AV,020800620022,1377036,422633,100.01,1000,B201807872,CD05278291,DEFECTIVE PLUMBING LINES, 12/05/2018,CBHCODE
2992  WOODROW AV,020800620022,1377036,422633,100.01,1000,B201906228,BCOE617,REPAIR BATH OR SHOWER, 08/29/2019,CBHCODE
2992  WOODROW AV,020800620022,1377036,422633,100.01,1000,B202001141,CD05894296,REPAIR BATH OR SHOWER, 02/19/2020,CBHCODE
2992  WOODROW AV,020800620022,1377036,422633,100.01,1000,B202100412,BCOE414,REPAIR WINDOWS, 02/12/2021,CBHCODE
2710  LAFEUILLE CIR,020800650001,1375797,420489,100.01,1001,B202002884,BCOE605,REPAIR LEAK AND DAMAGE, 06/02/2020,CBHCODE
2710  LAFEUILLE CIR,020800650001,1375797,420489,100.01,1001,B202002884,BCOE606,PAINT OR PAPER ROOMS, 06/02/2020,CBHCODE
2710  LAFEUILLE CIR,020800650001,1375797,420489,100.01,1001,B202001669,BCOE605,REPAIR LEAK AND DAMAGE, 04/02/2020,CBHCODE
2712  LAFEUILLE CIR,020800650001,1375800,420306,100.01,1001,B201904674,BCOE400,REPAIR ROOF, 06/25/2019,CBHCODE
2712  LAFEUILLE CIR,020800650001,1375800,420306,100.01,1001,B201904674,BCOE600,PAINT HALLS, 06/25/2019,CBHCODE
2712  LAFEUILLE CIR,020800650001,1375800,420306,100.01,1001,B201904674,BCOE605,REPAIR LEAK AND DAMAGE, 06/25/2019,CBHCODE
2712  LAFEUILLE CIR,020800650001,1375800,420306,100.01,1001,B201903933,CD05496506,REPAIR BATH OR SHOWER, 05/08/2019,CBHCODE
2480  QUEEN CITY AV,018200020010,1377270,418382,100.01,1002,B201903784,CD05489396,REPAIR LEAK AND DAMAGE, 05/06/2019,CBHCODE
2643  PANCOAST AV,020800620124,1376350,421921,100.01,1003,B201905586,BCOE406,SEWER CONNECT DOWNSPOUTS, 07/29/2019,CBHCODE
2647  PANCOAST AV,020800620123,1376299,421916,100.01,1003,B202105443,BCOE400,REPAIR ROOF, 11/17/2021,CBHCODE
2635  OCOSTA AV,020800620114,1376473,422233,100.01,1004,B201801851,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 02/05/2018,CBHCODE
2635  OCOSTA AV,020800620114,1376473,422233,100.01,1004,B201805367,BCOE413,PAINT EXTERIOR, 08/07/2018,CBHCODE
2635  OCOSTA AV,020800620114,1376473,422233,100.01,1004,B201801851,CD04799200,REPAIR WINDOWS, 02/05/2018,CBHCODE
2619  HARRISON AV,020800620097,1376547,422538,100.01,1005,B201805585,CD05118471,REPAIR LEAK AND DAMAGE, 08/21/2018,CBHCODE
2619  HARRISON AV,020800620097,1376547,422538,100.01,1005,B201805585,CD05118467,REPAIR GUTTERS AND DOWNSPOUTS, 08/21/2018,CBHCODE
2619  HARRISON AV,020800620097,1376547,422538,100.01,1005,B201805585,CD05118468,REPAIR WINDOWS, 08/21/2018,CBHCODE
2619  HARRISON AV,020800620097,1376547,422538,100.01,1005,B201805585,CD05118469,REPAIR WATER CLOSET (TOILET), 08/21/2018,CBHCODE
2619  HARRISON AV,020800620097,1376547,422538,100.01,1005,B202204142,CD07242811,FLUES TO BE CLEAN/UNOBSTRUCTED, 09/21/2022,CBHCODE
2619  HARRISON AV,020800620097,1376547,422538,100.01,1005,B202005467,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 12/18/2020,CBHCODE
2920  DEBRECK AV,02080A580057,1377440,422198,100.01,1008,B202102902,BCOE404,REPAIR GUTTERS AND DOWNSPOUTS, 08/18/2021,CBHCODE
2922  DEBRECK AV,02080A580033,1377447,422252,100.01,1008,B201803491,CD04946262,PAINT EXTERIOR, 05/10/2018,CBHCODE
2727  HARRISON AV,020800610048,1375329,422463,100.01,2000,B202205201,CD07257993,PAINT OR PAPER ROOMS, 09/30/2022,CBHCODE
2727  HARRISON AV,020800610048,1375329,422463,100.01,2000,B202001455,CD05923670,REPAIR WINDOWS, 03/12/2020,CBHCODE
2727  HARRISON AV,020800610048,1375329,422463,100.01,2000,B202001455,CD05923673,REPAIR LEAK AND DAMAGE, 03/12/2020,CBHCODE
2727  HARRISON AV,020800610048,1375329,422463,100.01,2000,B202002598,CD05974537,REPAIR LEAK AND DAMAGE, 05/14/2020,CBHCODE
2731  HARRISON AV,020800610048,1375325,422535,100.01,2000,B202103236,CD06682797,DEFECTIVE PLUMBING LINES, 09/08/2021,CBHCODE
2731  HARRISON AV,020800610048,1375325,422535,100.01,2000,B202103236,CD06682820,REPAIR WINDOWS, 09/08/2021,CBHCODE
2745  HARRISON AV,020800610001,1375234,422664,100.01,2000,B202004669,CD06172963,REPAIR LEAK AND DAMAGE, 09/16/2020,CBHCODE
2749  HARRISON AV,020800610115,1375201,422708,100.01,2000,B201805879,CD05140360,REPAIR LEAK AND DAMAGE, 09/10/2018,CBHCODE
2788  WESTBROOK DR,020800670118,1374869,420603,100.01,2002,B201805995,BCOE400,REPAIR ROOF, 09/07/2018,CBHCODE
2788  WESTBROOK DR,020800670118,1374869,420603,100.01,2002,B201907783,CD05772784,REPAIR ROOF, 11/04/2019,CBHCODE
